SS,SE,ES,EE,SM,_F,Search,Explore,Obey,Ignore,Actual_Search,Actual_Explore
0,0,2,8,10,0.00178762960314623,0,10,8,2,2,8
0,0,3,12,15,0.00268144440471934,0,15,12,3,3,12
0,0,4,16,20,0.00357525920629246,0,20,16,4,4,16
0,0,5,20,25,0.00446907400786557,0,25,20,5,5,20
0,0,6,24,30,0.00536288880943868,0,30,24,6,6,24
0,0,7,28,35,0.0062567036110118,0,35,28,7,7,28
0,0,8,32,40,0.00715051841258491,0,40,32,8,8,32
0,0,9,36,45,0.00804433321415803,0,45,36,9,9,36
0,0,10,40,50,0.00893814801573114,0,50,40,10,10,40
0,0,11,44,55,0.00983196281730426,0,55,44,11,11,44
0,0,12,48,60,0.0107257776188774,0,60,48,12,12,48
0,0,13,52,65,0.0116195924204505,0,65,52,13,13,52
0,0,14,56,70,0.0125134072220236,0,70,56,14,14,56
0,0,15,60,75,0.0134072220235967,0,75,60,15,15,60
0,0,16,64,80,0.0143010368251698,0,80,64,16,16,64
0,0,17,68,85,0.0151948516267429,0,85,68,17,17,68
0,0,18,72,90,0.0160886664283161,0,90,72,18,18,72
0,0,19,76,95,0.0169824812298892,0,95,76,19,19,76
0,0,20,80,100,0.0178762960314623,0,100,80,20,20,80
0,0,21,84,105,0.0187701108330354,0,105,84,21,21,84
0,0,22,88,110,0.0196639256346085,0,110,88,22,22,88
0,0,23,92,115,0.0205577404361816,0,115,92,23,23,92
0,0,24,96,120,0.0214515552377547,0,120,96,24,24,96
0,0,25,100,125,0.0223453700393279,0,125,100,25,25,100
0,0,26,104,130,0.023239184840901,0,130,104,26,26,104
0,0,27,108,135,0.0241329996424741,0,135,108,27,27,108
0,0,29,111,140,0.0250268144440472,0,140,111,29,29,111
0,0,31,114,145,0.0259206292456203,0,145,114,31,31,114
0,0,33,117,150,0.0268144440471934,0,150,117,33,33,117
0,0,35,120,155,0.0277082588487665,0,155,120,35,35,120
0,0,37,123,160,0.0286020736503396,0,160,123,37,37,123
0,0,39,126,165,0.0294958884519128,0,165,126,39,39,126
0,0,41,129,170,0.0303897032534859,0,170,129,41,41,129
0,0,43,132,175,0.031283518055059,0,175,132,43,43,132
0,0,45,135,180,0.0321773328566321,0,180,135,45,45,135
0,0,47,138,185,0.0330711476582052,0,185,138,47,47,138
0,0,48,142,190,0.0339649624597783,0,190,142,48,48,142
0,0,49,146,195,0.0348587772613514,0,195,146,49,49,146
0,0,50,150,200,0.0357525920629246,0,200,150,50,50,150
0,5,50,150,205,0.0366464068644977,5,200,150,55,50,155
0,10,50,150,210,0.0375402216660708,10,200,150,60,50,160
0,15,50,150,215,0.0384340364676439,15,200,150,65,50,165
0,20,50,150,220,0.039327851269217,20,200,150,70,50,170
0,25,50,150,225,0.0402216660707901,25,200,150,75,50,175
0,30,50,150,230,0.0411154808723632,30,200,150,80,50,180
0,35,50,150,235,0.0420092956739364,35,200,150,85,50,185
0,40,50,150,240,0.0429031104755095,40,200,150,90,50,190
0,45,50,150,245,0.0437969252770826,45,200,150,95,50,195
0,50,50,150,250,0.0446907400786557,50,200,150,100,50,200
0,55,50,150,255,0.0455845548802288,55,200,150,105,50,205
0,60,50,150,260,0.0464783696818019,60,200,150,110,50,210
0,65,50,150,265,0.047372184483375,65,200,150,115,50,215
0,70,50,150,270,0.0482659992849482,70,200,150,120,50,220
0,75,50,150,275,0.0491598140865213,75,200,150,125,50,225
0,80,50,150,280,0.0500536288880944,80,200,150,130,50,230
0,85,50,150,285,0.0509474436896675,85,200,150,135,50,235
0,90,50,150,290,0.0518412584912406,90,200,150,140,50,240
0,95,50,150,295,0.0527350732928137,95,200,150,145,50,245
0,100,50,150,300,0.0536288880943868,100,200,150,150,50,250
0,105,50,150,305,0.05452270289596,105,200,150,155,50,255
0,110,50,150,310,0.0554165176975331,110,200,150,160,50,260
0,115,50,150,315,0.0563103324991062,115,200,150,165,50,265
0,120,50,150,320,0.0572041473006793,120,200,150,170,50,270
0,125,50,150,325,0.0580979621022524,125,200,150,175,50,275
0,130,50,150,330,0.0589917769038255,130,200,150,180,50,280
0,135,50,150,335,0.0598855917053986,135,200,150,185,50,285
0,140,50,150,340,0.0607794065069718,140,200,150,190,50,290
0,145,50,150,345,0.0616732213085449,145,200,150,195,50,295
0,150,50,150,350,0.062567036110118,150,200,150,200,50,300
0,155,50,150,355,0.0634608509116911,155,200,150,205,50,305
0,160,50,150,360,0.0643546657132642,160,200,150,210,50,310
0,165,50,150,365,0.0652484805148373,165,200,150,215,50,315
0,170,50,150,370,0.0661422953164104,170,200,150,220,50,320
0,175,50,150,375,0.0670361101179835,175,200,150,225,50,325
0,180,50,150,380,0.0679299249195567,180,200,150,230,50,330
0,185,50,150,385,0.0688237397211298,185,200,150,235,50,335
0,190,50,150,390,0.0697175545227029,190,200,150,240,50,340
0,195,50,150,395,0.070611369324276,195,200,150,245,50,345
0,200,50,150,400,0.0715051841258491,200,200,150,250,50,350
0,205,50,150,405,0.0723989989274222,205,200,150,255,50,355
0,210,50,150,410,0.0732928137289953,210,200,150,260,50,360
0,215,50,150,415,0.0741866285305685,215,200,150,265,50,365
0,220,50,150,420,0.0750804433321416,220,200,150,270,50,370
0,225,50,150,425,0.0759742581337147,225,200,150,275,50,375
0,230,50,150,430,0.0768680729352878,230,200,150,280,50,380
0,235,50,150,435,0.0777618877368609,235,200,150,285,50,385
0,240,50,150,440,0.078655702538434,240,200,150,290,50,390
0,245,50,150,445,0.0795495173400071,245,200,150,295,50,395
0,250,50,150,450,0.0804433321415803,250,200,150,300,50,400
0,255,50,150,455,0.0813371469431534,255,200,150,305,50,405
0,260,50,150,460,0.0822309617447265,260,200,150,310,50,410
0,265,50,150,465,0.0831247765462996,265,200,150,315,50,415
0,270,50,150,470,0.0840185913478727,270,200,150,320,50,420
0,275,50,150,475,0.0849124061494458,275,200,150,325,50,425
0,280,50,150,480,0.0858062209510189,280,200,150,330,50,430
0,285,50,150,485,0.0867000357525921,285,200,150,335,50,435
0,290,50,150,490,0.0875938505541652,290,200,150,340,50,440
0,295,50,150,495,0.0884876653557383,295,200,150,345,50,445
0,300,50,150,500,0.0893814801573114,300,200,150,350,50,450
0,305,50,150,505,0.0902752949588845,305,200,150,355,50,455
0,310,50,150,510,0.0911691097604576,310,200,150,360,50,460
0,315,50,150,515,0.0920629245620307,315,200,150,365,50,465
0,320,50,150,520,0.0929567393636039,320,200,150,370,50,470
0,325,50,150,525,0.093850554165177,325,200,150,375,50,475
0,330,50,150,530,0.0947443689667501,330,200,150,380,50,480
0,335,50,150,535,0.0956381837683232,335,200,150,385,50,485
0,340,50,150,540,0.0965319985698963,340,200,150,390,50,490
0,345,50,150,545,0.0974258133714694,345,200,150,395,50,495
0,350,50,150,550,0.0983196281730425,350,200,150,400,50,500
0,355,50,150,555,0.0992134429746157,355,200,150,405,50,505
0,360,50,150,560,0.100107257776189,360,200,150,410,50,510
0,365,50,150,565,0.101001072577762,365,200,150,415,50,515
0,370,50,150,570,0.101894887379335,370,200,150,420,50,520
0,375,50,150,575,0.102788702180908,375,200,150,425,50,525
0,380,50,150,580,0.103682516982481,380,200,150,430,50,530
