SS,SE,ES,EE,S,E,AGR,NAGR,SM,Time,Search,Explore,Obey,Ignore
4,10,0,2,14,2,6,10,16,0.002542104,0.875,0.125,0.375,0.625
4,18,0,2,22,2,6,18,24,0.003813155,0.916666667,0.083333333,0.25,0.75
4,22,0,2,26,2,6,22,28,0.004448681,0.928571429,0.071428571,0.214285714,0.785714286
4,33,0,2,37,2,6,33,39,0.006196378,0.948717949,0.051282051,0.153846154,0.846153846
4,41,0,2,45,2,6,41,47,0.007467429,0.957446809,0.042553191,0.127659574,0.872340426
4,49,0,2,53,2,6,49,55,0.008738481,0.963636364,0.036363636,0.109090909,0.890909091
4,57,0,2,61,2,6,57,63,0.010009533,0.968253968,0.031746032,0.095238095,0.904761905
4,65,0,2,69,2,6,65,71,0.011280585,0.971830986,0.028169014,0.084507042,0.915492958
4,73,0,2,77,2,6,73,79,0.012551636,0.974683544,0.025316456,0.075949367,0.924050633
4,81,0,2,85,2,6,81,87,0.013822688,0.977011494,0.022988506,0.068965517,0.931034483
4,89,0,2,93,2,6,89,95,0.01509374,0.978947368,0.021052632,0.063157895,0.936842105
4,97,0,2,101,2,6,97,103,0.016364792,0.980582524,0.019417476,0.058252427,0.941747573
4,105,0,2,109,2,6,105,111,0.017635844,0.981981982,0.018018018,0.054054054,0.945945946
4,113,0,2,117,2,6,113,119,0.018906895,0.983193277,0.016806723,0.050420168,0.949579832
4,121,0,2,125,2,6,121,127,0.020177947,0.984251969,0.015748031,0.047244094,0.952755906
4,129,0,2,133,2,6,129,135,0.021448999,0.985185185,0.014814815,0.044444444,0.955555556
4,137,0,2,141,2,6,137,143,0.022720051,0.986013986,0.013986014,0.041958042,0.958041958
4,145,0,2,149,2,6,145,151,0.023991103,0.986754967,0.013245033,0.039735099,0.960264901
4,153,0,2,157,2,6,153,159,0.025262154,0.987421384,0.012578616,0.037735849,0.962264151
4,161,0,2,165,2,6,161,167,0.026533206,0.988023952,0.011976048,0.035928144,0.964071856
4,169,0,2,173,2,6,169,175,0.027804258,0.988571429,0.011428571,0.034285714,0.965714286
4,177,0,2,181,2,6,177,183,0.02907531,0.989071038,0.010928962,0.032786885,0.967213115
4,185,0,2,189,2,6,185,191,0.030346362,0.989528796,0.010471204,0.031413613,0.968586387
