SS,SE,ES,EE,S,E,AGR,NAGR,SM,Time,Search,Explore,Obey,Ignore
4,12,0,4,16,4,8,12,20,0.00367782272894447,0.8,0.2,0.4,0.6
4,22,0,4,26,4,8,22,30,0.0055167340934167,0.866666666666667,0.133333333333333,0.266666666666667,0.733333333333333
4,32,0,4,36,4,8,32,40,0.00735564545788893,0.9,0.1,0.2,0.8
4,42,0,4,46,4,8,42,50,0.00919455682236116,0.92,0.08,0.16,0.84
4,52,0,4,56,4,8,52,60,0.0110334681868334,0.933333333333333,0.0666666666666667,0.133333333333333,0.866666666666667
4,62,0,4,66,4,8,62,70,0.0128723795513056,0.942857142857143,0.0571428571428571,0.114285714285714,0.885714285714286
4,72,0,4,76,4,8,72,80,0.0147112909157779,0.95,0.05,0.1,0.9
4,82,0,4,86,4,8,82,90,0.0165502022802501,0.955555555555556,0.0444444444444444,0.0888888888888889,0.911111111111111
4,92,0,4,96,4,8,92,100,0.0183891136447223,0.96,0.04,0.08,0.92
4,102,0,4,106,4,8,102,110,0.0202280250091946,0.963636363636364,0.0363636363636364,0.0727272727272727,0.927272727272727
4,112,0,4,116,4,8,112,120,0.0220669363736668,0.966666666666667,0.0333333333333333,0.0666666666666667,0.933333333333333
4,122,0,4,126,4,8,122,130,0.023905847738139,0.969230769230769,0.0307692307692308,0.0615384615384615,0.938461538461538
4,132,0,4,136,4,8,132,140,0.0257447591026113,0.971428571428571,0.0285714285714286,0.0571428571428571,0.942857142857143
4,142,0,4,146,4,8,142,150,0.0275836704670835,0.973333333333333,0.0266666666666667,0.0533333333333333,0.946666666666667
4,152,0,4,156,4,8,152,160,0.0294225818315557,0.975,0.025,0.05,0.95
4,162,0,4,166,4,8,162,170,0.031261493196028,0.976470588235294,0.0235294117647059,0.0470588235294118,0.952941176470588
4,172,0,4,176,4,8,172,180,0.0331004045605002,0.977777777777778,0.0222222222222222,0.0444444444444444,0.955555555555556
4,182,0,4,186,4,8,182,190,0.0349393159249724,0.978947368421053,0.0210526315789474,0.0421052631578947,0.957894736842105
4,192,0,4,196,4,8,192,200,0.0367782272894446,0.98,0.02,0.04,0.96
4,202,0,4,206,4,8,202,210,0.0386171386539169,0.980952380952381,0.019047619047619,0.0380952380952381,0.961904761904762
4,212,0,4,216,4,8,212,220,0.0404560500183891,0.981818181818182,0.0181818181818182,0.0363636363636364,0.963636363636364
4,222,0,4,226,4,8,222,230,0.0422949613828613,0.982608695652174,0.0173913043478261,0.0347826086956522,0.965217391304348
4,232,0,4,236,4,8,232,240,0.0441338727473336,0.983333333333333,0.0166666666666667,0.0333333333333333,0.966666666666667
4,242,0,4,246,4,8,242,250,0.0459727841118058,0.984,0.016,0.032,0.968
4,252,0,4,256,4,8,252,260,0.047811695476278,0.984615384615385,0.0153846153846154,0.0307692307692308,0.969230769230769
4,262,0,4,266,4,8,262,270,0.0496506068407503,0.985185185185185,0.0148148148148148,0.0296296296296296,0.97037037037037
4,272,0,4,276,4,8,272,280,0.0514895182052225,0.985714285714286,0.0142857142857143,0.0285714285714286,0.971428571428571
4,282,0,4,286,4,8,282,290,0.0533284295696947,0.986206896551724,0.0137931034482759,0.0275862068965517,0.972413793103448
4,292,0,4,296,4,8,292,300,0.055167340934167,0.986666666666667,0.0133333333333333,0.0266666666666667,0.973333333333333
4,302,0,4,306,4,8,302,310,0.0570062522986392,0.987096774193548,0.0129032258064516,0.0258064516129032,0.974193548387097
4,312,0,4,316,4,8,312,320,0.0588451636631114,0.9875,0.0125,0.025,0.975
4,322,0,4,326,4,8,322,330,0.0606840750275837,0.987878787878788,0.0121212121212121,0.0242424242424242,0.975757575757576
4,332,0,4,336,4,8,332,340,0.0625229863920559,0.988235294117647,0.0117647058823529,0.0235294117647059,0.976470588235294
4,342,0,4,346,4,8,342,350,0.0643618977565281,0.988571428571429,0.0114285714285714,0.0228571428571429,0.977142857142857
4,352,0,4,356,4,8,352,360,0.0662008091210004,0.988888888888889,0.0111111111111111,0.0222222222222222,0.977777777777778
