SS,SE,ES,EE,S,E,AGR,NAGR,SM,Time,Search,Explore,Obey,Ignore
16,0,0,0,16,0,16,0,16,0.00599925009373828,1,0,1,0
24,0,0,0,24,0,24,0,24,0.00899887514060742,1,0,1,0
32,0,0,0,32,0,32,0,32,0.0119985001874766,1,0,1,0
40,0,0,0,40,0,40,0,40,0.0149981252343457,1,0,1,0
48,0,0,0,48,0,48,0,48,0.0179977502812149,1,0,1,0
56,0,0,0,56,0,56,0,56,0.020997375328084,1,0,1,0
64,0,0,0,64,0,64,0,64,0.0239970003749531,1,0,1,0
72,0,0,0,72,0,72,0,72,0.0269966254218223,1,0,1,0
80,0,0,0,80,0,80,0,80,0.0299962504686914,1,0,1,0
88,0,0,0,88,0,88,0,88,0.0329958755155606,1,0,1,0
96,0,0,0,96,0,96,0,96,0.0359955005624297,1,0,1,0
104,0,0,0,104,0,104,0,104,0.0389951256092988,1,0,1,0
112,0,0,0,112,0,112,0,112,0.041994750656168,1,0,1,0
120,0,0,0,120,0,120,0,120,0.0449943757030371,1,0,1,0
128,0,0,0,128,0,128,0,128,0.0479940007499063,1,0,1,0
136,0,0,0,136,0,136,0,136,0.0509936257967754,1,0,1,0
144,0,0,0,144,0,144,0,144,0.0539932508436445,1,0,1,0
152,0,0,0,152,0,152,0,152,0.0569928758905137,1,0,1,0
160,0,0,0,160,0,160,0,160,0.0599925009373828,1,0,1,0
168,0,0,0,168,0,168,0,168,0.062992125984252,1,0,1,0
176,0,0,0,176,0,176,0,176,0.0659917510311211,1,0,1,0
183,1,0,0,184,0,183,1,184,0.0689913760779902,1,0,0.994565217391304,0.00543478260869565
183,3,0,6,186,6,189,3,192,0.0719910011248594,0.96875,0.03125,0.984375,0.015625
183,5,0,12,188,12,195,5,200,0.0749906261717285,0.94,0.06,0.975,0.025
183,7,0,18,190,18,201,7,208,0.0779902512185977,0.913461538461538,0.0865384615384615,0.966346153846154,0.0336538461538462
183,9,0,24,192,24,207,9,216,0.0809898762654668,0.888888888888889,0.111111111111111,0.958333333333333,0.0416666666666667
183,11,0,30,194,30,213,11,224,0.083989501312336,0.866071428571429,0.133928571428571,0.950892857142857,0.0491071428571429
183,13,0,36,196,36,219,13,232,0.0869891263592051,0.844827586206897,0.155172413793103,0.943965517241379,0.0560344827586207
