SS,SE,ES,EE,S,E,AGR,NAGR,SM,Time,Search,Explore,Obey,Ignore
5,2,0,9,7,9,14,2,16,0.011072664,0.4375,0.5625,0.875,0.125
5,4,0,15,9,15,20,4,24,0.016608997,0.375,0.625,0.833333333,0.166666667
5,8,0,19,13,19,24,8,32,0.022145329,0.40625,0.59375,0.75,0.25
5,16,0,19,21,19,24,16,40,0.027681661,0.525,0.475,0.6,0.4
5,24,0,19,29,19,24,24,48,0.033217993,0.604166667,0.395833333,0.5,0.5
5,32,0,19,37,19,24,32,56,0.038754325,0.660714286,0.339285714,0.428571429,0.571428571
5,40,0,19,45,19,24,40,64,0.044290657,0.703125,0.296875,0.375,0.625
5,48,0,19,53,19,24,48,72,0.04982699,0.736111111,0.263888889,0.333333333,0.666666667
5,56,0,19,61,19,24,56,80,0.055363322,0.7625,0.2375,0.3,0.7
5,64,0,19,69,19,24,64,88,0.060899654,0.784090909,0.215909091,0.272727273,0.727272727
5,72,0,19,77,19,24,72,96,0.066435986,0.802083333,0.197916667,0.25,0.75
5,80,0,19,85,19,24,80,104,0.071972318,0.817307692,0.182692308,0.230769231,0.769230769
5,88,0,19,93,19,24,88,112,0.077508651,0.830357143,0.169642857,0.214285714,0.785714286
5,96,0,19,101,19,24,96,120,0.083044983,0.841666667,0.158333333,0.2,0.8
5,104,0,19,109,19,24,104,128,0.088581315,0.8515625,0.1484375,0.1875,0.8125
5,112,0,19,117,19,24,112,136,0.094117647,0.860294118,0.139705882,0.176470588,0.823529412
5,120,0,19,125,19,24,120,144,0.099653979,0.868055556,0.131944444,0.166666667,0.833333333
5,128,0,19,133,19,24,128,152,0.105190311,0.875,0.125,0.157894737,0.842105263
5,136,0,19,141,19,24,136,160,0.110726644,0.88125,0.11875,0.15,0.85
5,144,0,19,149,19,24,144,168,0.116262976,0.886904762,0.113095238,0.142857143,0.857142857
5,152,0,19,157,19,24,152,176,0.121799308,0.892045455,0.107954545,0.136363636,0.863636364
5,160,0,19,165,19,24,160,184,0.12733564,0.89673913,0.10326087,0.130434783,0.869565217
5,168,0,19,173,19,24,168,192,0.132871972,0.901041667,0.098958333,0.125,0.875
5,176,0,19,181,19,24,176,200,0.138408304,0.905,0.095,0.12,0.88
